Time,Status,EAR,MAR
2026-03-22 15:46:04,DROWSY,0.069,0.67
2026-03-22 15:46:09,DROWSY,0.114,0.708
2026-03-22 15:46:18,DROWSY,0.076,0.654
2026-03-22 15:46:22,DROWSY,0.108,0.626
2026-03-22 15:46:31,DROWSY,0.21,0.764
2026-03-22 15:46:39,DROWSY,0.2,0.668
2026-03-22 15:46:44,DROWSY,0.06,0.641
2026-03-22 15:46:46,DROWSY,0.068,0.639
2026-03-22 15:46:55,DROWSY,0.191,0.71
2026-03-22 15:50:51,DROWSY,0.051,0.699
2026-03-22 15:50:59,DROWSY,0.148,0.723
2026-03-22 15:51:03,DROWSY,0.067,0.635
2026-03-22 15:51:09,DROWSY,0.038,0.666
2026-03-22 15:51:16,DROWSY,0.24,0.825
2026-03-22 15:51:18,DROWSY,0.211,0.758
2026-03-22 15:51:20,DROWSY,0.146,0.69
2026-03-22 15:51:28,DROWSY,0.159,0.686
2026-03-22 15:51:31,DROWSY,0.189,0.688
